Instance;Opt Found?;Best Sol;Dual Bound;Gap;Duration(s); Relax Sol; Relax Gap; Duration(s)
uniform_2;YES;3.2609;3.2609;0.00%;0.0101;2.2194;31.94%;0.0006
uniform_3;YES;4.4126;4.4126;0.00%;0.0414;2.5117;43.08%;0.0005
uniform_4;YES;4.7908;4.7908;0.00%;0.1121;3.2288;32.60%;0.0007
uniform_5;YES;6.1633;6.1633;0.00%;0.2455;3.6370;40.99%;0.0010
uniform_6;YES;7.8542;7.8542;0.00%;0.2715;6.1891;21.20%;0.0013
uniform_7;YES;7.2308;7.2308;0.00%;0.4464;4.7331;34.54%;0.0016
uniform_9;YES;9.7517;9.7517;0.00%;0.6245;7.9648;18.32%;0.0034
uniform_10;YES;8.8464;8.8464;0.00%;4.8267;5.9186;33.10%;0.0057
uniform_12;YES;11.0556;11.0556;0.00%;15.7420;8.3713;24.28%;0.0088
uniform_13;YES;10.6065;10.6065;0.00%;35.4666;7.7471;26.96%;0.0089
uniform_14;YES;9.6509;9.6509;0.00%;19.6302;5.7797;40.11%;0.0150
uniform_15;YES;9.7158;9.7158;0.00%;30.8370;6.3091;35.06%;0.0186
uniform_16;NO;15.6976;14.7477;6.05%;60.0219;12.7526;18.76%;0.0266
uniform_17;NO;10.6740;10.5057;1.58%;60.0082;6.7991;36.30%;0.0224
uniform_18;YES;10.5733;10.5733;0.00%;57.1451;5.8438;44.73%;0.0251
uniform_19;NO;11.9861;11.7723;1.78%;60.0283;8.3581;30.27%;0.0225
uniform_20;NO;14.5556;14.2809;1.89%;60.0164;11.6217;20.16%;0.0237
uniform_21;NO;13.0889;12.6954;3.01%;60.0021;9.7339;25.63%;0.0327
uniform_22;NO;13.1997;12.2009;7.57%;60.0114;8.6707;34.31%;0.0571
uniform_23;NO;11.4247;11.3074;1.03%;60.0428;7.6734;32.84%;0.0565
uniform_24;NO;14.2112;13.8244;2.72%;60.0159;11.0286;22.39%;0.0398
uniform_25;NO;14.6449;13.7503;6.11%;60.0051;10.1600;30.62%;0.0464
uniform_28;NO;14.5976;13.8782;4.93%;60.0222;10.1652;30.36%;0.0606
uniform_29;NO;21.9684;18.3480;16.48%;60.0225;16.0705;26.85%;0.0854
uniform_30;NO;14.9128;14.3597;3.71%;60.0143;10.3920;30.32%;0.0715
uniform_32;NO;16.3292;15.0619;7.76%;60.0318;11.2045;31.38%;0.0673
uniform_33;NO;14.3106;13.7607;3.84%;60.0202;9.1582;36.00%;0.0571
uniform_34;NO;15.6106;14.7247;5.67%;60.0194;10.4791;32.87%;0.0800
uniform_35;NO;13.8968;13.5950;2.17%;60.0198;8.7598;36.97%;0.0999
uniform_36;NO;21.3013;18.2111;14.51%;60.0553;15.3671;27.86%;0.1444
uniform_37;NO;15.7605;14.8650;5.68%;60.1752;9.8530;37.48%;0.0686
uniform_38;NO;17.1421;16.1655;5.70%;60.0206;11.5985;32.34%;0.0815
uniform_39;NO;20.9242;18.6000;11.11%;60.0140;15.5503;25.68%;0.1031
uniform_40;NO;27.0132;24.0071;11.13%;60.3406;21.9928;18.58%;0.3442
uniform_41;NO;20.8250;18.0423;13.36%;60.6482;15.1976;27.02%;0.1195
uniform_42;NO;23.5641;20.2584;14.03%;60.0125;17.4000;26.16%;0.2192
uniform_43;NO;22.0848;18.2954;17.16%;60.0473;14.5128;34.29%;0.1870
uniform_44;NO;26.3959;22.6307;14.26%;60.0203;19.7475;25.19%;0.2870
uniform_45;NO;19.1757;17.6605;7.90%;60.0573;13.7529;28.28%;0.2968
uniform_46;NO;25.5870;20.6160;19.43%;60.0454;17.6394;31.06%;0.2578
uniform_47;NO;27.8387;21.6932;22.08%;60.0536;18.9699;31.86%;0.2585
uniform_48;NO;19.3624;17.0020;12.19%;60.0112;12.3814;36.05%;0.2405
uniform_49;NO;19.7386;16.7673;15.05%;60.0283;12.0474;38.97%;0.3701
uniform_50;NO;19.9934;18.1077;9.43%;60.0233;13.1259;34.35%;0.2183
