Instance;Opt Found?;Best Sol;Dual Bound;Gap;Duration(s); Relax Sol
uniform_2;YES;3.2609;3.2609;0.00%;0.01;2.22
uniform_3;YES;4.4126;4.4126;0.00%;0.05;2.51
uniform_4;YES;4.7908;4.7908;0.00%;0.13;3.23
uniform_5;YES;6.1633;6.1633;0.00%;0.24;3.64
uniform_6;YES;7.8542;7.8542;0.00%;0.27;6.19
uniform_7;YES;7.2308;7.2308;0.00%;0.44;4.73
uniform_9;YES;9.7517;9.7517;0.00%;0.59;7.96
uniform_10;YES;8.8464;8.8464;0.00%;4.11;5.92
uniform_12;YES;11.0556;11.0556;0.00%;18.37;8.37
uniform_13;YES;10.6065;10.6065;0.00%;38.68;7.75
uniform_14;YES;9.6509;9.6509;0.00%;19.33;5.78
uniform_15;YES;9.7158;9.7158;0.00%;17.21;6.31
uniform_16;NO;15.6976;14.7628;5.96%;60.03;12.75
uniform_17;NO;10.6740;10.5592;1.08%;60.06;6.80
uniform_18;YES;10.5733;10.5733;0.00%;33.85;5.84
uniform_19;NO;11.9861;11.8350;1.26%;60.04;8.36
uniform_20;NO;14.5556;14.2916;1.81%;60.07;11.62
uniform_21;NO;13.0889;12.7410;2.66%;60.05;9.73
uniform_22;NO;12.8076;12.2319;4.49%;60.05;8.67
uniform_23;NO;11.4247;11.3807;0.39%;60.09;7.67
uniform_24;NO;14.2112;13.9055;2.15%;60.06;11.03
uniform_25;NO;14.6449;13.7852;5.87%;60.06;10.16
uniform_26;NO_SOL;;;;
uniform_27;NO_SOL;;;;
uniform_28;NO;14.5546;13.9208;4.35%;60.06;10.17
uniform_29;NO;20.0393;18.3773;8.29%;60.08;16.07
uniform_30;NO;14.8847;14.3703;3.46%;60.08;10.39
uniform_31;NO_SOL;;;;
uniform_32;NO;16.3207;15.1115;7.41%;60.09;11.20
uniform_33;NO;14.3106;13.7652;3.81%;60.10;9.16
uniform_34;NO;15.6036;14.7394;5.54%;60.10;10.48
uniform_35;NO;13.8966;13.6297;1.92%;60.09;8.76
uniform_36;NO;20.7455;18.3232;11.68%;60.14;15.37
uniform_37;NO;15.7750;14.8588;5.81%;60.22;9.85
uniform_38;NO;17.1421;16.1656;5.70%;60.20;11.60
uniform_39;NO;20.9242;18.6221;11.00%;60.19;15.55
uniform_40;NO;27.3477;23.9299;12.50%;60.51;21.99
uniform_41;NO;20.8697;18.0423;13.55%;60.20;15.20
uniform_42;NO;23.4619;20.2584;13.65%;60.20;17.40
uniform_43;NO;21.1920;18.3476;13.42%;60.20;14.51
uniform_44;NO;26.3003;22.6307;13.95%;60.22;19.75
uniform_45;NO;19.0706;17.7175;7.10%;60.19;13.75
uniform_46;NO;24.4337;20.6160;15.63%;60.23;17.64
uniform_47;NO;26.7813;21.8377;18.46%;60.22;18.97
uniform_48;NO;19.3624;17.0020;12.19%;60.31;12.38
uniform_49;NO;20.6233;16.7673;18.70%;60.35;12.05
uniform_50;NO;20.0100;18.1077;9.51%;60.33;13.13
