Instance;Best Sol;Duration(s)
uniform_2;3.2609;0.0131
uniform_3;4.4126;0.0159
uniform_4;5.4856;0.0592
uniform_5;7.1031;0.0928
uniform_6;8.3575;0.1512
uniform_7;7.6626;0.1492
uniform_9;9.9047;0.3297
uniform_10;9.9244;0.4849
uniform_12;11.6648;0.6686
uniform_13;12.7451;0.9208
uniform_14;10.4141;0.7888
uniform_15;10.1386;1.0519
uniform_16;17.0629;1.3594
uniform_17;11.2199;1.5615
uniform_18;11.1035;1.5604
uniform_19;13.2417;1.8063
uniform_20;16.8526;2.6853
uniform_21;13.5194;2.3000
uniform_22;13.5486;2.7517
uniform_23;13.0673;3.9778
uniform_24;16.0664;4.9848
uniform_25;16.1731;4.2545
uniform_28;17.3842;6.8838
uniform_29;22.2765;8.0109
uniform_30;18.9964;8.1176
uniform_32;18.0776;10.5925
uniform_33;16.3962;10.6860
uniform_34;16.5595;10.7521
uniform_35;14.2820;12.6064
uniform_36;22.0564;14.8666
uniform_37;16.3249;17.1001
uniform_38;17.9650;15.2682
uniform_39;20.9141;20.4639
uniform_40;INVALID;
uniform_41;22.2831;22.8942
uniform_42;22.6484;24.7039
uniform_43;21.9639;30.6976
uniform_44;25.3985;31.8575
uniform_45;20.3062;35.6487
uniform_46;25.8794;31.2858
uniform_47;25.5589;28.0252
uniform_48;20.0480;32.1329
uniform_49;21.0846;35.7837
uniform_50;19.5921;31.0786
