Instance;NOSTAB Value;Nb cols; Durations(s);INOUT Value;Nb cols;Duration(s)
uniform_2;3.2609;266;0.01;3.2609;221;0.01
uniform_3;4.4126;452;0.02;4.4126;356;0.01
uniform_4;4.5890;790;0.03;4.5890;592;0.02
uniform_5;5.6891;1009;0.03;5.6891;852;0.03
uniform_6;7.6812;1268;0.06;7.6812;1019;0.05
uniform_7;7.0258;1563;0.07;7.0258;1257;0.05
uniform_9;8.9866;2207;0.14;8.9866;1631;0.10
uniform_10;8.4609;2750;0.16;8.4609;1997;0.11
uniform_12;10.3767;3748;0.29;10.3767;2927;0.23
uniform_13;10.0520;3899;0.30;10.0520;2984;0.24
uniform_14;9.3762;4606;0.37;9.3762;3431;0.25
uniform_15;9.4575;5205;0.46;9.4575;3781;0.32
uniform_16;13.7697;5351;0.50;13.7697;3847;0.36
uniform_17;10.3786;6532;0.59;10.3786;4878;0.41
uniform_18;10.3500;6902;0.61;10.3500;5451;0.47
uniform_19;11.4993;7519;0.80;11.4993;5265;0.53
uniform_20;12.9949;9254;1.14;12.9949;6044;0.68
uniform_21;12.3859;8536;1.06;12.3859;5483;0.67
uniform_22;12.1359;10822;1.21;12.1359;7728;0.84
uniform_23;11.1252;10663;1.26;11.1252;7466;0.86
uniform_24;13.6443;12783;1.78;13.6443;9114;1.17
uniform_25;13.7025;12808;1.84;13.7025;8355;1.11
uniform_26;24.9702;12086;1.87;24.9702;8545;1.27
uniform_27;17.3597;12677;1.97;17.3597;8732;1.32
uniform_28;13.7468;15602;2.29;13.7468;9683;1.47
uniform_29;16.4404;16279;2.72;16.4404;10335;1.71
uniform_30;14.2201;16345;2.61;14.2201;10461;1.61
uniform_31;21.7507;18320;3.30;21.7507;12621;2.34
uniform_32;14.7096;19911;3.94;14.7096;11993;2.10
uniform_33;13.6904;21959;4.14;13.6904;13497;2.56
uniform_34;14.6342;23371;4.45;14.6342;16145;2.68
uniform_35;13.5831;24380;5.80;13.5831;16844;3.14
uniform_36;17.3402;21765;5.16;17.3402;16811;3.83
uniform_37;14.8283;23911;4.98;14.8283;17591;3.57
uniform_38;16.2680;25265;5.46;16.2680;20304;4.39
uniform_39;18.4140;26536;6.79;18.4140;16789;3.82
uniform_40;19.9123;30405;7.63;19.9123;20020;7.15
uniform_41;18.0479;24300;9.47;18.0479;17838;5.93
uniform_42;19.6141;32467;10.04;19.6141;17804;5.67
uniform_43;18.1065;32930;14.30;18.1065;21864;9.14
uniform_44;20.4505;39159;20.17;20.4505;22792;20.20
uniform_45;17.5671;37114;26.97;17.5671;24750;7.94
uniform_46;19.7402;36837;14.39;19.7402;24192;7.73
uniform_47;20.1386;38033;15.84;20.1386;21382;9.18
uniform_48;17.2657;39005;15.50;17.2657;25118;8.57
uniform_49;17.0555;40459;14.69;17.0555;25402;9.55
uniform_50;18.2410;42951;15.65;18.2410;25139;9.23
